"LAWAID","Parameter","Median"
"es-00112","MCI",95
"es-00112","PercentageEPTTaxa",41
"es-00112","TaxaRichness",22
"es-00113","MCI",93
"es-00113","PercentageEPTTaxa",36.24
"es-00113","TaxaRichness",25
"es-00121","MCI",102.5
"es-00121","PercentageEPTTaxa",45
"es-00121","TaxaRichness",22.5
"es-00130","MCI",88.5
"es-00130","PercentageEPTTaxa",33.5
"es-00130","TaxaRichness",22
"es-00131","MCI",116
"es-00131","PercentageEPTTaxa",60
"es-00131","TaxaRichness",33
"es-00135","MCI",74.5
"es-00135","PercentageEPTTaxa",22
"es-00135","TaxaRichness",19.5
"es-00163","MCI",99
"es-00163","PercentageEPTTaxa",43
"es-00163","TaxaRichness",21
"es-00164","MCI",98
"es-00164","PercentageEPTTaxa",48
"es-00164","TaxaRichness",21
"es-00165","MCI",86
"es-00165","PercentageEPTTaxa",40
"es-00165","TaxaRichness",20
"es-00166","MCI",102
"es-00166","PercentageEPTTaxa",44
"es-00166","TaxaRichness",22
"es-00167","MCI",113.5
"es-00167","PercentageEPTTaxa",54.5
"es-00167","TaxaRichness",18.5
"ew-00010","MCI",109.15
"ew-00010","PercentageEPTTaxa",34.45
"ew-00010","TaxaRichness",26.5
"ew-00020","MCI",84.5
"ew-00020","PercentageEPTTaxa",14.3
"ew-00020","TaxaRichness",22
"ew-00028","MCI",108
"ew-00028","PercentageEPTTaxa",48
"ew-00028","TaxaRichness",25
"ew-00045","MCI",104.1
"ew-00045","PercentageEPTTaxa",42.3
"ew-00045","TaxaRichness",26
"ew-00050","MCI",90.3
"ew-00050","PercentageEPTTaxa",35
"ew-00050","TaxaRichness",21
"ew-00057","MCI",58.05
"ew-00057","PercentageEPTTaxa",5.7
"ew-00057","TaxaRichness",18.5
"ew-00060","MCI",113.15
"ew-00060","PercentageEPTTaxa",54.95
"ew-00060","TaxaRichness",22.5
"ew-00066","MCI",98.5
"ew-00066","PercentageEPTTaxa",35.4
"ew-00066","TaxaRichness",22.5
"ew-00101","MCI",65.1
"ew-00101","PercentageEPTTaxa",14.3
"ew-00101","TaxaRichness",19
"ew-00118","MCI",114.6
"ew-00118","PercentageEPTTaxa",46.2
"ew-00118","TaxaRichness",28
"gdc-00002","MCI",102.5
"gdc-00002","PercentageEPTTaxa",45.85
"gdc-00002","TaxaRichness",14.5
"gdc-00003","MCI",84.35
"gdc-00003","PercentageEPTTaxa",16.25
"gdc-00003","TaxaRichness",21
"gdc-00004","MCI",79
"gdc-00004","PercentageEPTTaxa",19
"gdc-00004","TaxaRichness",21
"gdc-00005","MCI",94
"gdc-00005","PercentageEPTTaxa",25.85
"gdc-00005","TaxaRichness",24
"gdc-00006","MCI",105
"gdc-00006","PercentageEPTTaxa",42
"gdc-00006","TaxaRichness",15
"gdc-00008","MCI",70
"gdc-00008","PercentageEPTTaxa",5.55
"gdc-00008","TaxaRichness",13.5
"gdc-00009","MCI",100
"gdc-00009","PercentageEPTTaxa",36.4
"gdc-00009","TaxaRichness",9.5
"gdc-00010","MCI",96
"gdc-00010","PercentageEPTTaxa",31.3
"gdc-00010","TaxaRichness",16
"gdc-00011","MCI",105.5
"gdc-00011","PercentageEPTTaxa",36.1
"gdc-00011","TaxaRichness",11.5
"gdc-00013","MCI",112.5
"gdc-00013","PercentageEPTTaxa",42.15
"gdc-00013","TaxaRichness",26.5
"gdc-00014","MCI",64
"gdc-00014","PercentageEPTTaxa",0
"gdc-00014","TaxaRichness",15
"gdc-00015","MCI",103.5
"gdc-00015","PercentageEPTTaxa",16.7
"gdc-00015","TaxaRichness",15
"gdc-00016","MCI",76
"gdc-00016","PercentageEPTTaxa",0
"gdc-00016","TaxaRichness",7
"gdc-00017","MCI",90.8
"gdc-00017","PercentageEPTTaxa",32.15
"gdc-00017","TaxaRichness",29
"gdc-00018","MCI",98.9
"gdc-00018","PercentageEPTTaxa",31.6
"gdc-00018","TaxaRichness",14
"gdc-00021","MCI",105.5
"gdc-00021","PercentageEPTTaxa",47.25
"gdc-00021","TaxaRichness",18
"gdc-00022","MCI",75.1
"gdc-00022","PercentageEPTTaxa",10.48
"gdc-00022","TaxaRichness",25.5
"gdc-00023","MCI",94
"gdc-00023","PercentageEPTTaxa",37.3
"gdc-00023","TaxaRichness",28
"gdc-00024","MCI",86.5
"gdc-00024","PercentageEPTTaxa",28.7
"gdc-00024","TaxaRichness",18.5
"gdc-00027","MCI",79
"gdc-00027","PercentageEPTTaxa",6.67
"gdc-00027","TaxaRichness",15
"gdc-00028","MCI",69
"gdc-00028","PercentageEPTTaxa",15.8
"gdc-00028","TaxaRichness",10
"gdc-00029","MCI",114
"gdc-00029","PercentageEPTTaxa",44.3
"gdc-00029","TaxaRichness",18
"gdc-00030","MCI",101
"gdc-00030","PercentageEPTTaxa",50.15
"gdc-00030","TaxaRichness",23
"gdc-00031","MCI",69
"gdc-00031","PercentageEPTTaxa",10.3
"gdc-00031","TaxaRichness",16
"gw-00002","MCI",83.133335
"gw-00002","PercentageEPTTaxa",12.65
"gw-00002","TaxaRichness",23.25
"gw-00004","MCI",89.41
"gw-00004","PercentageEPTTaxa",16.7
"gw-00004","TaxaRichness",19
"gw-00005","MCI",131.453225
"gw-00005","PercentageEPTTaxa",56.05
"gw-00005","TaxaRichness",20.5
"gw-00006","MCI",106.285
"gw-00006","PercentageEPTTaxa",44
"gw-00006","TaxaRichness",20.5
"gw-00007","MCI",78.87276
"gw-00007","PercentageEPTTaxa",0
"gw-00007","TaxaRichness",18.5
"gw-00010","MCI",111.409575
"gw-00010","PercentageEPTTaxa",48.786955
"gw-00010","TaxaRichness",23
"gw-00013","MCI",106.365
"gw-00013","PercentageEPTTaxa",51
"gw-00013","TaxaRichness",23
"gw-00014","MCI",95.185
"gw-00014","PercentageEPTTaxa",34.05
"gw-00014","TaxaRichness",30.5
"gw-00015","MCI",100
"gw-00015","PercentageEPTTaxa",33.33333
"gw-00015","TaxaRichness",24
"gw-00016","MCI",80.804785
"gw-00016","PercentageEPTTaxa",21.5
"gw-00016","TaxaRichness",22.25
"gw-00017","MCI",111.11
"gw-00017","PercentageEPTTaxa",44
"gw-00017","TaxaRichness",23
"gw-00018","MCI",85.01
"gw-00018","PercentageEPTTaxa",20.5
"gw-00018","TaxaRichness",24
"gw-00019","MCI",87.14238
"gw-00019","PercentageEPTTaxa",25.02381
"gw-00019","TaxaRichness",21.5
"gw-00020","MCI",134.89435
"gw-00020","PercentageEPTTaxa",63.358695
"gw-00020","TaxaRichness",22.5
"gw-00021","MCI",123.647775
"gw-00021","PercentageEPTTaxa",53.75
"gw-00021","TaxaRichness",29
"gw-00022","MCI",110.9233
"gw-00022","PercentageEPTTaxa",42.55
"gw-00022","TaxaRichness",22.75
"gw-00023","MCI",120.88185
"gw-00023","PercentageEPTTaxa",51.775
"gw-00023","TaxaRichness",27.5
"gw-00024","MCI",118.40555
"gw-00024","PercentageEPTTaxa",49
"gw-00024","TaxaRichness",25.5
"gw-00025","MCI",125.2699
"gw-00025","PercentageEPTTaxa",57.45
"gw-00025","TaxaRichness",25.25
"gw-00026","MCI",125.466675
"gw-00026","PercentageEPTTaxa",56.791665
"gw-00026","TaxaRichness",28
"gw-00028","MCI",130.3
"gw-00028","PercentageEPTTaxa",59.55
"gw-00028","TaxaRichness",36
"gw-00029","MCI",108.67
"gw-00029","PercentageEPTTaxa",45.15
"gw-00029","TaxaRichness",25.5
"gw-00031","MCI",137.7
"gw-00031","PercentageEPTTaxa",65.025
"gw-00031","TaxaRichness",21
"gw-00032","MCI",116.37975
"gw-00032","PercentageEPTTaxa",51.9
"gw-00032","TaxaRichness",17.75
"gw-00033","MCI",108.63805
"gw-00033","PercentageEPTTaxa",46.833335
"gw-00033","TaxaRichness",16
"gw-00034","MCI",100.48853
"gw-00034","PercentageEPTTaxa",42.6
"gw-00034","TaxaRichness",17
"gw-00037","MCI",92.1620675
"gw-00037","PercentageEPTTaxa",30.975
"gw-00037","TaxaRichness",20.5
"gw-00038","MCI",92
"gw-00038","PercentageEPTTaxa",33.33333
"gw-00038","TaxaRichness",24
"gw-00039","MCI",78.26087
"gw-00039","PercentageEPTTaxa",6
"gw-00039","TaxaRichness",24
"gw-00040","MCI",102.767875
"gw-00040","PercentageEPTTaxa",42.925
"gw-00040","TaxaRichness",22
"gw-00041","MCI",110.423825
"gw-00041","PercentageEPTTaxa",45.85
"gw-00041","TaxaRichness",17.75
"gw-00042","MCI",80
"gw-00042","PercentageEPTTaxa",14.3
"gw-00042","TaxaRichness",14
"gw-00045","MCI",97.10167
"gw-00045","PercentageEPTTaxa",31.785715
"gw-00045","TaxaRichness",22
"gw-00046","MCI",81.96154
"gw-00046","PercentageEPTTaxa",27.9
"gw-00046","TaxaRichness",24
"gw-00047","MCI",137.1807
"gw-00047","PercentageEPTTaxa",70.714285
"gw-00047","TaxaRichness",21
"gw-00048","MCI",109.97585
"gw-00048","PercentageEPTTaxa",53.7
"gw-00048","TaxaRichness",18.75
"gw-00050","MCI",109.5238
"gw-00050","PercentageEPTTaxa",50
"gw-00050","TaxaRichness",22
"gw-00051","MCI",91.53846
"gw-00051","PercentageEPTTaxa",29
"gw-00051","TaxaRichness",24
"gw-00053","MCI",89.23
"gw-00053","PercentageEPTTaxa",29.16667
"gw-00053","TaxaRichness",24
"gw-00055","MCI",115.2381
"gw-00055","PercentageEPTTaxa",50
"gw-00055","TaxaRichness",17
"gw-00264","MCI",73.4210525
"gw-00264","PercentageEPTTaxa",1.325
"gw-00264","TaxaRichness",16.5
"hbrc-00002","MCI",106.67
"hbrc-00002","PercentageEPTTaxa",30.2
"hbrc-00002","TaxaRichness",19
"hbrc-00003","MCI",69.5
"hbrc-00003","PercentageEPTTaxa",4.67
"hbrc-00003","TaxaRichness",19
"hbrc-00004","MCI",83.64
"hbrc-00004","PercentageEPTTaxa",27.04
"hbrc-00004","TaxaRichness",22
"hbrc-00005","MCI",92.63
"hbrc-00005","PercentageEPTTaxa",38.41
"hbrc-00005","TaxaRichness",17
"hbrc-00006","MCI",78.82
"hbrc-00006","PercentageEPTTaxa",2.2
"hbrc-00006","TaxaRichness",17
"hbrc-00007","MCI",75.38
"hbrc-00007","PercentageEPTTaxa",28.59
"hbrc-00007","TaxaRichness",16
"hbrc-00008","MCI",117.6
"hbrc-00008","PercentageEPTTaxa",52.24
"hbrc-00008","TaxaRichness",20
"hbrc-00009","MCI",105.45
"hbrc-00009","PercentageEPTTaxa",57.29
"hbrc-00009","TaxaRichness",25
"hbrc-00010","MCI",74.165
"hbrc-00010","PercentageEPTTaxa",0.15
"hbrc-00010","TaxaRichness",18
"hbrc-00011","MCI",78.26
"hbrc-00011","PercentageEPTTaxa",5.1
"hbrc-00011","TaxaRichness",20
"hbrc-00012","MCI",96.88
"hbrc-00012","PercentageEPTTaxa",45.9
"hbrc-00012","TaxaRichness",23
"hbrc-00014","MCI",69.365
"hbrc-00014","PercentageEPTTaxa",0
"hbrc-00014","TaxaRichness",17
"hbrc-00015","MCI",117.39
"hbrc-00015","PercentageEPTTaxa",71.31
"hbrc-00015","TaxaRichness",20
"hbrc-00017","MCI",128.7
"hbrc-00017","PercentageEPTTaxa",76.15
"hbrc-00017","TaxaRichness",25
"hbrc-00018","MCI",70.53
"hbrc-00018","PercentageEPTTaxa",1.7575
"hbrc-00018","TaxaRichness",17
"hbrc-00019","MCI",107.5
"hbrc-00019","PercentageEPTTaxa",66.17
"hbrc-00019","TaxaRichness",18
"hbrc-00020","MCI",98.1
"hbrc-00020","PercentageEPTTaxa",52.8
"hbrc-00020","TaxaRichness",21
"hbrc-00021","MCI",116.36
"hbrc-00021","PercentageEPTTaxa",59.16
"hbrc-00021","TaxaRichness",21
"hbrc-00022","MCI",122.5
"hbrc-00022","PercentageEPTTaxa",75.31
"hbrc-00022","TaxaRichness",19
"hbrc-00023","MCI",106.4
"hbrc-00023","PercentageEPTTaxa",46.97
"hbrc-00023","TaxaRichness",26
"hbrc-00024","MCI",102.86
"hbrc-00024","PercentageEPTTaxa",48.16
"hbrc-00024","TaxaRichness",20
"hbrc-00026","MCI",133.6
"hbrc-00026","PercentageEPTTaxa",76.72
"hbrc-00026","TaxaRichness",25
"hbrc-00028","MCI",128.15
"hbrc-00028","PercentageEPTTaxa",57.2
"hbrc-00028","TaxaRichness",22.5
"hbrc-00029","MCI",103.85
"hbrc-00029","PercentageEPTTaxa",27.66
"hbrc-00029","TaxaRichness",24
"hbrc-00031","MCI",107.845
"hbrc-00031","PercentageEPTTaxa",49.88
"hbrc-00031","TaxaRichness",23
"hbrc-00032","MCI",94.29
"hbrc-00032","PercentageEPTTaxa",44.55
"hbrc-00032","TaxaRichness",22
"hbrc-00036","MCI",78.335
"hbrc-00036","PercentageEPTTaxa",0.095
"hbrc-00036","TaxaRichness",17.5
"hbrc-00038","MCI",100
"hbrc-00038","PercentageEPTTaxa",54.43
"hbrc-00038","TaxaRichness",17
"hbrc-00039","MCI",114.12
"hbrc-00039","PercentageEPTTaxa",73.04
"hbrc-00039","TaxaRichness",17
"hbrc-00040","MCI",100
"hbrc-00040","TaxaRichness",15
"hbrc-00041","MCI",87
"hbrc-00041","PercentageEPTTaxa",29.73
"hbrc-00041","TaxaRichness",20
"hbrc-00042","MCI",88
"hbrc-00042","PercentageEPTTaxa",56.31
"hbrc-00042","TaxaRichness",25
"hbrc-00043","MCI",82.67
"hbrc-00043","PercentageEPTTaxa",26.2
"hbrc-00043","TaxaRichness",18
"hbrc-00043_niwa","MCI",90.58824
"hbrc-00043_niwa","PercentageEPTTaxa",35.29412
"hbrc-00043_niwa","TaxaRichness",13
"hbrc-00044","MCI",77.5
"hbrc-00044","PercentageEPTTaxa",0.71
"hbrc-00044","TaxaRichness",17
"hbrc-00046","MCI",93.6
"hbrc-00046","PercentageEPTTaxa",39.1
"hbrc-00046","TaxaRichness",23
"hbrc-00048","MCI",120
"hbrc-00048","PercentageEPTTaxa",69.92
"hbrc-00048","TaxaRichness",23
"hbrc-00050","MCI",81.05
"hbrc-00050","PercentageEPTTaxa",0.24
"hbrc-00050","TaxaRichness",16
"hbrc-00053","MCI",80
"hbrc-00053","PercentageEPTTaxa",1.6
"hbrc-00053","TaxaRichness",12
"hbrc-00055","MCI",105.05
"hbrc-00055","PercentageEPTTaxa",54.14
"hbrc-00055","TaxaRichness",19
"hbrc-00056","MCI",92.94
"hbrc-00056","PercentageEPTTaxa",46.09
"hbrc-00056","TaxaRichness",21
"hbrc-00059","MCI",95.96
"hbrc-00059","PercentageEPTTaxa",29.0975
"hbrc-00059","TaxaRichness",21
"hbrc-00061","MCI",110.59
"hbrc-00061","PercentageEPTTaxa",56.6
"hbrc-00061","TaxaRichness",15
"hbrc-00062","MCI",132
"hbrc-00062","PercentageEPTTaxa",82.65
"hbrc-00062","TaxaRichness",25
"hbrc-00063","MCI",67.69
"hbrc-00063","PercentageEPTTaxa",2.1
"hbrc-00063","TaxaRichness",13
"hbrc-00067","MCI",68.21
"hbrc-00067","PercentageEPTTaxa",0.03
"hbrc-00067","TaxaRichness",13.5
"hbrc-00069","MCI",100
"hbrc-00069","PercentageEPTTaxa",27.65
"hbrc-00069","TaxaRichness",27
"hbrc-00070","MCI",116.15
"hbrc-00070","PercentageEPTTaxa",63.52
"hbrc-00070","TaxaRichness",29
"hbrc-00071","MCI",122.85
"hbrc-00071","PercentageEPTTaxa",56.89
"hbrc-00071","TaxaRichness",22
"hbrc-00072","MCI",116.92
"hbrc-00072","PercentageEPTTaxa",75.93
"hbrc-00072","TaxaRichness",24
"hbrc-00073","MCI",115.95
"hbrc-00073","PercentageEPTTaxa",40.95
"hbrc-00073","TaxaRichness",28
"hbrc-00075","MCI",90.905
"hbrc-00075","PercentageEPTTaxa",20.995
"hbrc-00075","TaxaRichness",22
"hbrc-00077","MCI",102.86
"hbrc-00077","PercentageEPTTaxa",33.96
"hbrc-00077","TaxaRichness",17
"hbrc-00079","MCI",120
"hbrc-00079","PercentageEPTTaxa",41.43
"hbrc-00079","TaxaRichness",18
"hbrc-00081","MCI",110.4
"hbrc-00081","PercentageEPTTaxa",66.93
"hbrc-00081","TaxaRichness",20
"hbrc-00083","MCI",90
"hbrc-00083","PercentageEPTTaxa",39.72
"hbrc-00083","TaxaRichness",18
"hbrc-00085","MCI",70.24
"hbrc-00085","TaxaRichness",16.5
"hbrc-00087","MCI",96
"hbrc-00087","PercentageEPTTaxa",67.3
"hbrc-00087","TaxaRichness",17
"hbrc-00088","MCI",101.25
"hbrc-00088","PercentageEPTTaxa",51.37
"hbrc-00088","TaxaRichness",16
"hbrc-00090","MCI",68
"hbrc-00090","PercentageEPTTaxa",0
"hbrc-00090","TaxaRichness",16
"hbrc-00124","MCI",74.55
"hbrc-00124","PercentageEPTTaxa",0.2
"hbrc-00124","TaxaRichness",14
"hbrc-00131","MCI",101.33
"hbrc-00131","PercentageEPTTaxa",33.08
"hbrc-00131","TaxaRichness",16
"hbrc-00139","MCI",110
"hbrc-00139","PercentageEPTTaxa",65.8
"hbrc-00139","TaxaRichness",16
"hrc-00001","MCI",69
"hrc-00001","PercentageEPTTaxa",0
"hrc-00001","TaxaRichness",18
"hrc-00002","MCI",78
"hrc-00002","PercentageEPTTaxa",23.81
"hrc-00002","TaxaRichness",23
"hrc-00003","MCI",99
"hrc-00003","PercentageEPTTaxa",48.48485
"hrc-00003","TaxaRichness",30
"hrc-00004","MCI",68
"hrc-00004","PercentageEPTTaxa",0
"hrc-00004","TaxaRichness",17
"hrc-00005","MCI",119
"hrc-00005","PercentageEPTTaxa",56.685
"hrc-00005","TaxaRichness",25.5
"hrc-00006","MCI",114
"hrc-00006","PercentageEPTTaxa",47.22222
"hrc-00006","TaxaRichness",26
"hrc-00007","MCI",90
"hrc-00007","PercentageEPTTaxa",27.27
"hrc-00007","TaxaRichness",22
"hrc-00008","MCI",94
"hrc-00008","PercentageEPTTaxa",38.71
"hrc-00008","TaxaRichness",28
"hrc-00009","MCI",122
"hrc-00009","PercentageEPTTaxa",59.45946
"hrc-00009","TaxaRichness",35
"hrc-00010","MCI",105
"hrc-00010","PercentageEPTTaxa",47.62
"hrc-00010","TaxaRichness",22
"hrc-00011","MCI",95
"hrc-00011","PercentageEPTTaxa",33.33333
"hrc-00011","TaxaRichness",22
"hrc-00013","MCI",93
"hrc-00013","PercentageEPTTaxa",31.25
"hrc-00013","TaxaRichness",15
"hrc-00015","MCI",100.5
"hrc-00015","PercentageEPTTaxa",48.075
"hrc-00015","TaxaRichness",16.5
"hrc-00016","MCI",92.5
"hrc-00016","PercentageEPTTaxa",32.975
"hrc-00016","TaxaRichness",19.75
"hrc-00017","MCI",100
"hrc-00017","PercentageEPTTaxa",35.29
"hrc-00017","TaxaRichness",18
"hrc-00018","MCI",110.5
"hrc-00018","PercentageEPTTaxa",45.45
"hrc-00018","TaxaRichness",27.5
"hrc-00018_niwa","MCI",108
"hrc-00018_niwa","PercentageEPTTaxa",40
"hrc-00018_niwa","TaxaRichness",18
"hrc-00019","MCI",103.5
"hrc-00019","PercentageEPTTaxa",44.5
"hrc-00019","TaxaRichness",19.5
"hrc-00020","MCI",108
"hrc-00020","PercentageEPTTaxa",40
"hrc-00020","TaxaRichness",28
"hrc-00021","MCI",134
"hrc-00021","PercentageEPTTaxa",69.23077
"hrc-00021","TaxaRichness",26
"hrc-00022","MCI",122
"hrc-00022","PercentageEPTTaxa",56.52174
"hrc-00022","TaxaRichness",23
"hrc-00023","MCI",97.33334
"hrc-00023","PercentageEPTTaxa",47.37
"hrc-00023","TaxaRichness",21
"hrc-00024","MCI",97
"hrc-00024","PercentageEPTTaxa",39.39
"hrc-00024","TaxaRichness",26
"hrc-00025","MCI",96
"hrc-00025","PercentageEPTTaxa",35.675
"hrc-00025","TaxaRichness",27
"hrc-00026","MCI",110
"hrc-00026","PercentageEPTTaxa",57.14286
"hrc-00026","TaxaRichness",19
"hrc-00027","MCI",96
"hrc-00027","PercentageEPTTaxa",36.84
"hrc-00027","TaxaRichness",25
"hrc-00028","MCI",111.7241
"hrc-00028","PercentageEPTTaxa",55.56
"hrc-00028","TaxaRichness",27
"hrc-00029","MCI",127
"hrc-00029","PercentageEPTTaxa",63.16
"hrc-00029","TaxaRichness",33
"hrc-00030","MCI",132.10715
"hrc-00030","PercentageEPTTaxa",62.02
"hrc-00030","TaxaRichness",25.25
"hrc-00031","MCI",108.2262
"hrc-00031","PercentageEPTTaxa",38.885
"hrc-00031","TaxaRichness",30.5
"hrc-00033","MCI",110
"hrc-00033","PercentageEPTTaxa",56.25
"hrc-00033","TaxaRichness",29
"hrc-00034","MCI",96
"hrc-00034","PercentageEPTTaxa",40
"hrc-00034","TaxaRichness",23
"hrc-00035","MCI",106
"hrc-00035","PercentageEPTTaxa",50
"hrc-00035","TaxaRichness",20
"hrc-00036","MCI",127
"hrc-00036","PercentageEPTTaxa",59.09091
"hrc-00036","TaxaRichness",22
"hrc-00037","MCI",112
"hrc-00037","PercentageEPTTaxa",47.83
"hrc-00037","TaxaRichness",30
"hrc-00038","MCI",84
"hrc-00038","PercentageEPTTaxa",30
"hrc-00038","TaxaRichness",20
"hrc-00039","MCI",81
"hrc-00039","PercentageEPTTaxa",21.43
"hrc-00039","TaxaRichness",18
"hrc-00040","MCI",116.22825
"hrc-00040","PercentageEPTTaxa",50
"hrc-00040","TaxaRichness",22.5
"hrc-00041","MCI",133
"hrc-00041","PercentageEPTTaxa",60.3725
"hrc-00041","TaxaRichness",21
"hrc-00042","MCI",90.25
"hrc-00042","PercentageEPTTaxa",30.625
"hrc-00042","TaxaRichness",30
"hrc-00043","MCI",94.1785725
"hrc-00043","PercentageEPTTaxa",39.935
"hrc-00043","TaxaRichness",17.25
"hrc-00044","MCI",98.6111
"hrc-00044","PercentageEPTTaxa",43.7797625
"hrc-00044","TaxaRichness",15.75
"hrc-00045","MCI",102.5
"hrc-00045","PercentageEPTTaxa",46.99
"hrc-00045","TaxaRichness",21.25
"hrc-00045_niwa","MCI",106.4286
"hrc-00045_niwa","PercentageEPTTaxa",45.45455
"hrc-00045_niwa","TaxaRichness",14
"hrc-00046","MCI",112
"hrc-00046","PercentageEPTTaxa",53.51
"hrc-00046","TaxaRichness",26.75
"hrc-00047","MCI",115
"hrc-00047","PercentageEPTTaxa",56.67
"hrc-00047","TaxaRichness",26
"hrc-00048","MCI",114
"hrc-00048","PercentageEPTTaxa",52.38
"hrc-00048","TaxaRichness",25
"hrc-00049","MCI",129
"hrc-00049","PercentageEPTTaxa",59.26
"hrc-00049","TaxaRichness",26
"hrc-00050","MCI",105
"hrc-00050","PercentageEPTTaxa",50
"hrc-00050","TaxaRichness",26
"hrc-00054","MCI",113.708325
"hrc-00054","PercentageEPTTaxa",51.842115
"hrc-00054","TaxaRichness",30.5
"hrc-00055","MCI",90
"hrc-00055","PercentageEPTTaxa",35.29
"hrc-00055","TaxaRichness",22
"hrc-00056","MCI",131
"hrc-00056","PercentageEPTTaxa",63.36074
"hrc-00056","TaxaRichness",27.25
"hrc-00057","MCI",99.41177
"hrc-00057","PercentageEPTTaxa",40
"hrc-00057","TaxaRichness",30
"hrc-00060","MCI",98
"hrc-00060","PercentageEPTTaxa",41.18
"hrc-00060","TaxaRichness",21
"hrc-00061","MCI",99
"hrc-00061","PercentageEPTTaxa",47.62
"hrc-00061","TaxaRichness",26
"hrc-00062","MCI",107
"hrc-00062","PercentageEPTTaxa",53.33
"hrc-00062","TaxaRichness",30
"hrc-00062_niwa","MCI",110.4545
"hrc-00062_niwa","PercentageEPTTaxa",52.63158
"hrc-00062_niwa","TaxaRichness",22
"hrc-00063","MCI",106
"hrc-00063","PercentageEPTTaxa",54.17
"hrc-00063","TaxaRichness",27
"hrc-00064","MCI",114.0541
"hrc-00064","PercentageEPTTaxa",53.13
"hrc-00064","TaxaRichness",32
"hrc-00066","MCI",78
"hrc-00066","PercentageEPTTaxa",25
"hrc-00066","TaxaRichness",20
"hrc-00075","MCI",111.5
"hrc-00075","PercentageEPTTaxa",55.41889
"hrc-00075","TaxaRichness",25.75
"hrc-00076","MCI",110
"hrc-00076","PercentageEPTTaxa",52.38
"hrc-00076","TaxaRichness",21
"hrc-00079","MCI",102
"hrc-00079","PercentageEPTTaxa",41.67
"hrc-00079","TaxaRichness",21
"hrc-00080","MCI",85
"hrc-00080","PercentageEPTTaxa",44.7925
"hrc-00080","TaxaRichness",18
"hrc-00083","MCI",98
"hrc-00083","PercentageEPTTaxa",36.84
"hrc-00083","TaxaRichness",20
"hrc-00343","MCI",100
"hrc-00343","PercentageEPTTaxa",46.67
"hrc-00343","TaxaRichness",25
"hrc-00344","MCI",89.09091
"hrc-00344","PercentageEPTTaxa",43.75
"hrc-00344","TaxaRichness",22
"hrc-00345","MCI",108.045455
"hrc-00345","PercentageEPTTaxa",46.1508325
"hrc-00345","TaxaRichness",21
"hrc-00346","MCI",92
"hrc-00346","PercentageEPTTaxa",32.25806
"hrc-00346","TaxaRichness",25
"hrc-00347","MCI",88.1538475
"hrc-00347","PercentageEPTTaxa",39.31
"hrc-00347","TaxaRichness",31.75
"hrc-00348","MCI",138
"hrc-00348","PercentageEPTTaxa",68.18
"hrc-00348","TaxaRichness",26
"hrc-00349","MCI",106
"hrc-00349","PercentageEPTTaxa",42.86
"hrc-00349","TaxaRichness",29
"hrc-00350","MCI",111
"hrc-00350","PercentageEPTTaxa",55.17
"hrc-00350","TaxaRichness",23
"hrc-00351","MCI",118
"hrc-00351","PercentageEPTTaxa",55.56
"hrc-00351","TaxaRichness",19
"hrc-00352","MCI",113
"hrc-00352","PercentageEPTTaxa",54.05
"hrc-00352","TaxaRichness",32
"hrc-00353","MCI",101.5
"hrc-00353","PercentageEPTTaxa",46.9
"hrc-00353","TaxaRichness",25
"lawa-100168","MCI",122.5
"lawa-100168","PercentageEPTTaxa",56
"lawa-100168","TaxaRichness",21.5
"lawa-100169","MCI",113
"lawa-100169","PercentageEPTTaxa",54
"lawa-100169","TaxaRichness",24
"lawa-100170","MCI",93
"lawa-100170","PercentageEPTTaxa",46
"lawa-100170","TaxaRichness",24
"lawa-100171","MCI",103
"lawa-100171","PercentageEPTTaxa",50
"lawa-100171","TaxaRichness",28
"lawa-100172","MCI",105
"lawa-100172","PercentageEPTTaxa",47
"lawa-100172","TaxaRichness",24
"lawa-100173","MCI",110
"lawa-100173","PercentageEPTTaxa",54.16
"lawa-100173","TaxaRichness",23
"lawa-100174","MCI",98
"lawa-100174","PercentageEPTTaxa",40
"lawa-100174","TaxaRichness",30
"lawa-100176","MCI",95
"lawa-100176","PercentageEPTTaxa",50
"lawa-100176","TaxaRichness",18
"lawa-100177","MCI",104
"lawa-100177","PercentageEPTTaxa",50
"lawa-100177","TaxaRichness",24
"lawa-100178","MCI",120
"lawa-100178","PercentageEPTTaxa",57
"lawa-100178","TaxaRichness",15
"lawa-100179","MCI",114
"lawa-100179","PercentageEPTTaxa",50
"lawa-100179","TaxaRichness",18
"lawa-100181","MCI",120
"lawa-100181","PercentageEPTTaxa",50
"lawa-100181","TaxaRichness",16
"lawa-100184","MCI",107.5
"lawa-100184","PercentageEPTTaxa",51
"lawa-100184","TaxaRichness",29.5
"lawa-100185","MCI",117
"lawa-100185","PercentageEPTTaxa",52
"lawa-100185","TaxaRichness",28
"lawa-100186","MCI",106
"lawa-100186","PercentageEPTTaxa",53
"lawa-100186","TaxaRichness",17
"lawa-100187","MCI",114
"lawa-100187","PercentageEPTTaxa",54
"lawa-100187","TaxaRichness",28
"lawa-100190","MCI",89
"lawa-100190","PercentageEPTTaxa",38
"lawa-100190","TaxaRichness",21
"lawa-100191","MCI",118
"lawa-100191","PercentageEPTTaxa",60
"lawa-100191","TaxaRichness",25
"lawa-100192","MCI",124
"lawa-100192","PercentageEPTTaxa",60
