"LAWAID","Parameter","NOFDate","NOFValue"
"ecan-00336","TP","2018-12-01",2.5
"ecan-00337","TP","2018-12-01",14
"ecan-00338","TP","2018-12-01",2.5
"ecan-00339","TP","2018-12-01",4
"ecan-00340","TP","2018-12-01",4
"ecan-00341","TP","2018-12-01",7
"ecan-00342","TP","2018-12-01",22
"ecan-00343","TP","2018-12-01",2.5
"ecan-00344","TP","2018-12-01",12
"ecan-00345","TP","2018-12-01",2.5
"ecan-00346","TP","2018-12-01",2.5
"ecan-00347","TP","2018-12-01",450
"ecan-00348","TP","2018-12-01",7
"ecan-00349","TP","2018-12-01",2.5
"ecan-00351","TP","2018-12-01",15
"ecan-00354","TP","2018-12-01",4
"ecan-00355","TP","2018-12-01",2.5
"ecan-00357","TP","2018-12-01",14
"ecan-00358","TP","2018-12-01",7
"ecan-00359","TP","2018-12-01",10
"ecan-00367","TP","2018-12-01",7
"ecan-00368","TP","2018-12-01",4
"ecan-00369","TP","2018-12-01",220
"ecan-00370","TP","2018-12-01",145
"ecan-00371","TP","2018-12-01",210
"ecan-00372","TP","2018-12-01",260
"es-000142","TP","2018-12-01",28
"es-000157","TP","2018-12-01",22
"es-000158","TP","2018-12-01",27
"es-000159","TP","2018-12-01",36
"es-00144","TP","2018-12-01",14
"ew-00142","TP","2018-12-01",126
"ew-00143","TP","2018-12-01",34
"ew-00144","TP","2018-12-01",11
"ew-00145","TP","2018-12-01",23
"ew-00146","TP","2018-12-01",93
"ew-00147","TP","2018-12-01",200
"ew-00149","TP","2018-12-01",33
"ew-00150","TP","2018-12-01",36
"ew-00151","TP","2018-12-01",188
"gw-00257","TP","2018-12-01",80
"gw-00258","TP","2018-12-01",32
"gw-00262","TP","2018-12-01",78
"gw-00263","TP","2018-12-01",42
"hbrc-00171","TP","2018-12-01",68
"hbrc-00176","TP","2018-12-01",14
"hrc-00329","TP","2018-12-01",65
"hrc-00331","TP","2018-12-01",143
"hrc-00332","TP","2018-12-01",170
"hrc-00339","TP","2018-12-01",29
"hrc-00342","TP","2018-12-01",127
"lawa-100207","TP","2018-12-01",32
"lawa-100208","TP","2018-12-01",38
"lawa-100209","TP","2018-12-01",14
"lawa-100210","TP","2018-12-01",19.8
"lawa-100211","TP","2018-12-01",1.4
"lawa-100213","TP","2018-12-01",1.4
"lawa-100215","TP","2018-12-01",18
"lawa-100250","TP","2018-12-01",278
"lawa-100263","TP","2018-12-01",1.3
"lawa-100264","TP","2018-12-01",1.5
"lawa-100266","TP","2018-12-01",1.3
"lawa-101983","TP","2018-12-01",15
"lawa-102219","TP","2018-12-01",22
"lawa-102220","TP","2018-12-01",24
"lawa-102221","TP","2018-12-01",24
"lawa-102303","TP","2018-12-01",98
"lawa-102304","TP","2018-12-01",110
"lawa-102305","TP","2018-12-01",112
"lawa-102308","TP","2018-12-01",156
"nrc-00095","TP","2018-12-01",27
"orc-00027","TP","2018-12-01",6
"orc-00034","TP","2018-12-01",28
"orc-00035","TP","2018-12-01",36.3
"wcrc-00064","TP","2018-12-01",5
"arc-00098","TP","2019-12-01",8.5
"arc-00100","TP","2019-12-01",4.5
"arc-10002","TP","2019-12-01",15
"ebop-00087","TP","2019-12-01",5
"ebop-00088","TP","2019-12-01",17
"ebop-00089","TP","2019-12-01",5
"ebop-00090","TP","2019-12-01",11
"ebop-00091","TP","2019-12-01",21
"ebop-00092","TP","2019-12-01",20
"ebop-00094","TP","2019-12-01",19.5
"ebop-00095","TP","2019-12-01",4
"ebop-00096","TP","2019-12-01",24
"ebop-00097","TP","2019-12-01",17
"ebop-00098","TP","2019-12-01",17
"ebop-00100","TP","2019-12-01",3
"ecan-00325","TP","2019-12-01",186
"ecan-00327","TP","2019-12-01",5
"ecan-00328","TP","2019-12-01",10
"ecan-00329","TP","2019-12-01",4
"ecan-00330","TP","2019-12-01",7
"ecan-00332","TP","2019-12-01",10
"ecan-00333","TP","2019-12-01",7
"ecan-00334","TP","2019-12-01",220
"ecan-00335","TP","2019-12-01",7
"ecan-00336","TP","2019-12-01",2.5
"ecan-00337","TP","2019-12-01",9
"ecan-00338","TP","2019-12-01",2.5
"ecan-00339","TP","2019-12-01",2.5
"ecan-00340","TP","2019-12-01",8
"ecan-00341","TP","2019-12-01",8
"ecan-00342","TP","2019-12-01",22
"ecan-00343","TP","2019-12-01",11
"ecan-00344","TP","2019-12-01",90
"ecan-00345","TP","2019-12-01",4
"ecan-00346","TP","2019-12-01",5
"ecan-00347","TP","2019-12-01",220
"ecan-00348","TP","2019-12-01",17
"ecan-00349","TP","2019-12-01",2.5
"ecan-00351","TP","2019-12-01",30
"ecan-00354","TP","2019-12-01",4
"ecan-00355","TP","2019-12-01",6
"ecan-00357","TP","2019-12-01",15
"ecan-00358","TP","2019-12-01",13
"ecan-00359","TP","2019-12-01",24
"ecan-00367","TP","2019-12-01",14
"ecan-00368","TP","2019-12-01",2.5
"ecan-00369","TP","2019-12-01",260
"ecan-00370","TP","2019-12-01",220
"ecan-00371","TP","2019-12-01",178
"ecan-00372","TP","2019-12-01",180
"ew-00142","TP","2019-12-01",143
"ew-00143","TP","2019-12-01",34
"ew-00144","TP","2019-12-01",13
"ew-00145","TP","2019-12-01",19
"ew-00146","TP","2019-12-01",61
"ew-00147","TP","2019-12-01",170
"ew-00149","TP","2019-12-01",19
"ew-00150","TP","2019-12-01",24
"ew-00151","TP","2019-12-01",240
"lawa-101983","TP","2019-12-01",12
"lawa-102303","TP","2019-12-01",50
"lawa-102304","TP","2019-12-01",72
"lawa-102305","TP","2019-12-01",126
"wcrc-00064","TP","2019-12-01",6
"arc-00098","TP","1996-02-01",20
"arc-00099","TP","1996-02-01",60
"arc-00100","TP","1996-02-01",10
"arc-10002","TP","1996-02-01",35
"arc-00098","TP","1997-02-01",30
"arc-00099","TP","1997-02-01",30
"arc-00100","TP","1997-02-01",20
"arc-10002","TP","1997-02-01",30
"arc-00100","TP","1998-02-01",10
"arc-10002","TP","1998-02-01",25
"arc-00098","TP","1999-02-01",20
"arc-00099","TP","1999-02-01",20
"arc-00100","TP","1999-02-01",20
"arc-10002","TP","1999-02-01",35
"arc-00098","TP","2000-02-01",7.5
"arc-00099","TP","2000-02-01",5
"arc-00100","TP","2000-02-01",5
"arc-10002","TP","2000-02-01",20
"arc-00099","TP","2001-02-01",20
"arc-00098","TP","2002-02-01",30
"arc-00099","TP","2002-02-01",30
"arc-00100","TP","2002-02-01",30
"arc-10002","TP","2002-02-01",40
"arc-00098","TP","2004-02-01",30
"arc-00100","TP","2004-02-01",20
"arc-10002","TP","2004-02-01",30
"ebop-00087","TP","2004-02-01",9
"ebop-00088","TP","2004-02-01",31
"ebop-00089","TP","2004-02-01",6
"ebop-00090","TP","2004-02-01",9
"ebop-00091","TP","2004-02-01",53
"ebop-00092","TP","2004-02-01",28
"ebop-00094","TP","2004-02-01",32
"ebop-00095","TP","2004-02-01",6
"ebop-00096","TP","2004-02-01",83
"ebop-00097","TP","2004-02-01",60
"ebop-00098","TP","2004-02-01",66
"ebop-00100","TP","2004-02-01",8
"ecan-00325","TP","2004-02-01",180
"ecan-00334","TP","2004-02-01",280
"ecan-00347","TP","2004-02-01",530
"ecan-00348","TP","2004-02-01",15
"ecan-00369","TP","2004-02-01",300
"ecan-00370","TP","2004-02-01",260
"ecan-00371","TP","2004-02-01",260
"ew-00142","TP","2004-02-01",78
"ew-00143","TP","2004-02-01",26
"ew-00145","TP","2004-02-01",21
"ew-00146","TP","2004-02-01",63
"ew-00147","TP","2004-02-01",171
"ew-00149","TP","2004-02-01",34
"ew-00151","TP","2004-02-01",642
"lawa-102689","TP","2004-02-01",23
"nrc-00075","TP","2004-02-01",6
"nrc-00087","TP","2004-02-01",2
"nrc-00090","TP","2004-02-01",2
"nrc-00095","TP","2004-02-01",225
"orc-00027","TP","2004-02-01",25
"orc-00028","TP","2004-02-01",25
"orc-00035","TP","2004-02-01",15
"orc-00036","TP","2004-02-01",30
"orc-00037","TP","2004-02-01",2.5
"orc-00038","TP","2004-02-01",25
"trc-00051","TP","2004-02-01",28
"trc-00051","TP","2004-02-01",82
"trc-00053","TP","2004-02-01",129
"trc-00053","TP","2004-02-01",220
"arc-10002","TP","2005-02-01",25
"ebop-00087","TP","2005-02-01",8
"ebop-00088","TP","2005-02-01",43
"ebop-00089","TP","2005-02-01",9
"ebop-00090","TP","2005-02-01",5
"ebop-00091","TP","2005-02-01",84
"ebop-00092","TP","2005-02-01",9
"ebop-00094","TP","2005-02-01",14
"ebop-00095","TP","2005-02-01",4
"ebop-00096","TP","2005-02-01",41
"ebop-00097","TP","2005-02-01",36
"ebop-00098","TP","2005-02-01",41
"ebop-00100","TP","2005-02-01",8
"ecan-00325","TP","2005-02-01",300
"ecan-00326","TP","2005-02-01",4
"ecan-00328","TP","2005-02-01",9
"ecan-00329","TP","2005-02-01",8
"ecan-00330","TP","2005-02-01",6
"ecan-00332","TP","2005-02-01",17
"ecan-00333","TP","2005-02-01",9
"ecan-00334","TP","2005-02-01",250
"ecan-00335","TP","2005-02-01",6
"ecan-00336","TP","2005-02-01",5
"ecan-00337","TP","2005-02-01",8
"ecan-00338","TP","2005-02-01",11
"ecan-00339","TP","2005-02-01",6
"ecan-00340","TP","2005-02-01",13
"ecan-00341","TP","2005-02-01",8
"ecan-00342","TP","2005-02-01",26
"ecan-00343","TP","2005-02-01",9
"ecan-00344","TP","2005-02-01",15
"ecan-00345","TP","2005-02-01",11
"ecan-00347","TP","2005-02-01",1600
"ecan-00348","TP","2005-02-01",4
"ecan-00369","TP","2005-02-01",310
"ecan-00370","TP","2005-02-01",230
"ecan-00371","TP","2005-02-01",280
"ew-00143","TP","2005-02-01",31
"ew-00145","TP","2005-02-01",17
"ew-00149","TP","2005-02-01",26
"gw-00258","TP","2005-02-01",151
"nrc-00095","TP","2005-02-01",170
"orc-00027","TP","2005-02-01",25
"orc-00028","TP","2005-02-01",25
"orc-00035","TP","2005-02-01",204
"orc-00036","TP","2005-02-01",46
"orc-00037","TP","2005-02-01",2.5
"orc-00038","TP","2005-02-01",25
"trc-00051","TP","2005-02-01",14
"trc-00051","TP","2005-02-01",19
"trc-00053","TP","2005-02-01",28
"trc-00053","TP","2005-02-01",18
"arc-00098","TP","2006-02-01",25
"arc-00099","TP","2006-02-01",32
"arc-00100","TP","2006-02-01",28.5
"arc-10002","TP","2006-02-01",42.5
"ebop-00087","TP","2006-02-01",11
"ebop-00088","TP","2006-02-01",25.5
"ebop-00089","TP","2006-02-01",5
"ebop-00090","TP","2006-02-01",9
"ebop-00091","TP","2006-02-01",59
"ebop-00092","TP","2006-02-01",24
"ebop-00094","TP","2006-02-01",24
"ebop-00095","TP","2006-02-01",9
"ebop-00096","TP","2006-02-01",34.5
"ebop-00097","TP","2006-02-01",65
"ebop-00098","TP","2006-02-01",70
"ebop-00100","TP","2006-02-01",1
"ecan-00325","TP","2006-02-01",220
"ecan-00326","TP","2006-02-01",1
"ecan-00327","TP","2006-02-01",3
"ecan-00328","TP","2006-02-01",3
"ecan-00329","TP","2006-02-01",2
"ecan-00330","TP","2006-02-01",4
"ecan-00332","TP","2006-02-01",5
"ecan-00333","TP","2006-02-01",4
"ecan-00334","TP","2006-02-01",290
"ecan-00335","TP","2006-02-01",4
"ecan-00336","TP","2006-02-01",2.5
"ecan-00337","TP","2006-02-01",3
"ecan-00338","TP","2006-02-01",2
"ecan-00339","TP","2006-02-01",2
"ecan-00340","TP","2006-02-01",2
"ecan-00341","TP","2006-02-01",2
"ecan-00342","TP","2006-02-01",8
"ecan-00343","TP","2006-02-01",2
"ecan-00344","TP","2006-02-01",2
"ecan-00345","TP","2006-02-01",1
"ecan-00346","TP","2006-02-01",1
"ecan-00347","TP","2006-02-01",10400
"ecan-00348","TP","2006-02-01",59
"ecan-00354","TP","2006-02-01",1
"ecan-00355","TP","2006-02-01",1
"ecan-00369","TP","2006-02-01",340
"ecan-00370","TP","2006-02-01",310
"ecan-00371","TP","2006-02-01",310
"ew-00142","TP","2006-02-01",101
"ew-00146","TP","2006-02-01",81
"ew-00147","TP","2006-02-01",281
"ew-00151","TP","2006-02-01",204
"lawa-100211","TP","2006-02-01",5
"lawa-100213","TP","2006-02-01",13
"lawa-100263","TP","2006-02-01",5
"lawa-100264","TP","2006-02-01",5
"lawa-100266","TP","2006-02-01",5
"nrc-00075","TP","2006-02-01",11
"nrc-00077","TP","2006-02-01",54
"nrc-00078","TP","2006-02-01",87
"nrc-00086","TP","2006-02-01",31
"nrc-00087","TP","2006-02-01",4
"nrc-00090","TP","2006-02-01",5
"nrc-00091","TP","2006-02-01",86
"nrc-00095","TP","2006-02-01",177
"orc-00034","TP","2006-02-01",36
"orc-00035","TP","2006-02-01",164
"orc-00036","TP","2006-02-01",34
"orc-00037","TP","2006-02-01",2.5
"trc-00051","TP","2006-02-01",16
"trc-00051","TP","2006-02-01",25
"trc-00053","TP","2006-02-01",24
"trc-00053","TP","2006-02-01",18
"wcrc-00064","TP","2006-02-01",6.3
"wcrc-00065","TP","2006-02-01",13.4
"arc-00098","TP","2007-02-01",47
"arc-00099","TP","2007-02-01",22
"arc-00100","TP","2007-02-01",40.5
"arc-10002","TP","2007-02-01",35.5
"ebop-00087","TP","2007-02-01",9
"ebop-00088","TP","2007-02-01",18
"ebop-00089","TP","2007-02-01",7
"ebop-00090","TP","2007-02-01",9
"ebop-00091","TP","2007-02-01",100
"ebop-00092","TP","2007-02-01",13
"ebop-00094","TP","2007-02-01",18
"ebop-00095","TP","2007-02-01",8
"ebop-00096","TP","2007-02-01",31
"ebop-00097","TP","2007-02-01",40
"ebop-00098","TP","2007-02-01",38
"ecan-00325","TP","2007-02-01",160
"ecan-00326","TP","2007-02-01",2.5
"ecan-00327","TP","2007-02-01",3
"ecan-00328","TP","2007-02-01",3
"ecan-00329","TP","2007-02-01",3
"ecan-00330","TP","2007-02-01",3
"ecan-00332","TP","2007-02-01",4
"ecan-00333","TP","2007-02-01",3
"ecan-00334","TP","2007-02-01",240
"ecan-00335","TP","2007-02-01",3
"ecan-00336","TP","2007-02-01",2.5
"ecan-00337","TP","2007-02-01",17
"ecan-00338","TP","2007-02-01",1
"ecan-00339","TP","2007-02-01",2
"ecan-00340","TP","2007-02-01",3
"ecan-00341","TP","2007-02-01",5
"ecan-00342","TP","2007-02-01",18
"ecan-00343","TP","2007-02-01",7
"ecan-00344","TP","2007-02-01",8
"ecan-00345","TP","2007-02-01",2.5
"ecan-00346","TP","2007-02-01",2.5
"ecan-00347","TP","2007-02-01",235
"ecan-00348","TP","2007-02-01",8
"ecan-00354","TP","2007-02-01",2.5
"ecan-00355","TP","2007-02-01",2.5
"ecan-00369","TP","2007-02-01",240
"ecan-00370","TP","2007-02-01",160
"ecan-00371","TP","2007-02-01",240
"es-000142","TP","2007-02-01",54
"es-000157","TP","2007-02-01",60
"es-000158","TP","2007-02-01",52
"es-000159","TP","2007-02-01",60
"ew-00142","TP","2007-02-01",110
"ew-00143","TP","2007-02-01",26
"ew-00144","TP","2007-02-01",18
"ew-00145","TP","2007-02-01",7
"ew-00146","TP","2007-02-01",63
"ew-00147","TP","2007-02-01",292
"ew-00149","TP","2007-02-01",18
"ew-00151","TP","2007-02-01",202
"lawa-100211","TP","2007-02-01",5
"lawa-100213","TP","2007-02-01",5
"lawa-100263","TP","2007-02-01",5
"lawa-100264","TP","2007-02-01",5
"lawa-100266","TP","2007-02-01",5
"nrc-00071","TP","2007-02-01",42
"nrc-00072","TP","2007-02-01",14
"nrc-00079","TP","2007-02-01",7
"nrc-00080","TP","2007-02-01",11
"nrc-00081","TP","2007-02-01",17
"nrc-00082","TP","2007-02-01",8
"nrc-00083","TP","2007-02-01",7
"nrc-00085","TP","2007-02-01",9
"nrc-00088","TP","2007-02-01",9
"nrc-00089","TP","2007-02-01",24
"nrc-00092","TP","2007-02-01",7
"nrc-00093","TP","2007-02-01",17
"nrc-00096","TP","2007-02-01",43
"orc-00027","TP","2007-02-01",7
"orc-00028","TP","2007-02-01",25
"orc-00036","TP","2007-02-01",37
"orc-00037","TP","2007-02-01",2.5
"orc-00038","TP","2007-02-01",25
"trc-00051","TP","2007-02-01",10
"trc-00051","TP","2007-02-01",17
"trc-00053","TP","2007-02-01",14
"trc-00053","TP","2007-02-01",20
"wcrc-00064","TP","2007-02-01",7.8
"wcrc-00065","TP","2007-02-01",10.5
"arc-00098","TP","2008-02-01",24
"arc-00099","TP","2008-02-01",22
"arc-00100","TP","2008-02-01",24
"arc-10002","TP","2008-02-01",42.5
"ebop-00087","TP","2008-02-01",4
"ebop-00088","TP","2008-02-01",16
"ebop-00089","TP","2008-02-01",9
"ebop-00090","TP","2008-02-01",7
"ebop-00091","TP","2008-02-01",35
"ebop-00092","TP","2008-02-01",14
"ebop-00094","TP","2008-02-01",18
"ebop-00095","TP","2008-02-01",8
"ebop-00096","TP","2008-02-01",20
"ebop-00097","TP","2008-02-01",42
"ebop-00098","TP","2008-02-01",40
"ebop-00100","TP","2008-02-01",4
"ecan-00325","TP","2008-02-01",270
"ecan-00326","TP","2008-02-01",4
"ecan-00327","TP","2008-02-01",3
"ecan-00329","TP","2008-02-01",6
"ecan-00330","TP","2008-02-01",7
"ecan-00332","TP","2008-02-01",6
"ecan-00333","TP","2008-02-01",9
"ecan-00334","TP","2008-02-01",240
"ecan-00335","TP","2008-02-01",4
"ecan-00336","TP","2008-02-01",3
"ecan-00337","TP","2008-02-01",14
"ecan-00338","TP","2008-02-01",3
"ecan-00339","TP","2008-02-01",5
"ecan-00340","TP","2008-02-01",6
"ecan-00341","TP","2008-02-01",7
"ecan-00342","TP","2008-02-01",110
"ecan-00343","TP","2008-02-01",6
"ecan-00344","TP","2008-02-01",14
"ecan-00345","TP","2008-02-01",2.5
"ecan-00346","TP","2008-02-01",2
"ecan-00347","TP","2008-02-01",335
"ecan-00348","TP","2008-02-01",4
"ecan-00354","TP","2008-02-01",2
"ecan-00355","TP","2008-02-01",8
"ecan-00357","TP","2008-02-01",15
"ecan-00358","TP","2008-02-01",33
"ecan-00359","TP","2008-02-01",15
"ecan-00369","TP","2008-02-01",270
"ecan-00370","TP","2008-02-01",220
"ecan-00371","TP","2008-02-01",270
"es-000142","TP","2008-02-01",15
"es-000157","TP","2008-02-01",34
"es-000158","TP","2008-02-01",16
"es-000159","TP","2008-02-01",19
"ew-00142","TP","2008-02-01",58
"ew-00143","TP","2008-02-01",26
"ew-00145","TP","2008-02-01",30
"ew-00146","TP","2008-02-01",120
"ew-00147","TP","2008-02-01",320
"ew-00149","TP","2008-02-01",80
"ew-00151","TP","2008-02-01",340
"nrc-00073","TP","2008-02-01",15
"nrc-00074","TP","2008-02-01",42
"nrc-00076","TP","2008-02-01",22
"nrc-00077","TP","2008-02-01",30
"nrc-00078","TP","2008-02-01",21
"nrc-00084","TP","2008-02-01",11
"nrc-00091","TP","2008-02-01",35
"nrc-00095","TP","2008-02-01",130
"orc-00027","TP","2008-02-01",25
"orc-00028","TP","2008-02-01",25
"orc-00037","TP","2008-02-01",2.5
"orc-00038","TP","2008-02-01",25
"trc-00051","TP","2008-02-01",4
"trc-00051","TP","2008-02-01",8
"trc-00053","TP","2008-02-01",10
"trc-00053","TP","2008-02-01",17
"wcrc-00064","TP","2008-02-01",5.5
"wcrc-00065","TP","2008-02-01",16.6
"arc-00098","TP","2009-02-01",5.5
"arc-00099","TP","2009-02-01",6
"arc-00100","TP","2009-02-01",6.5
"arc-10002","TP","2009-02-01",22.5
"ebop-00087","TP","2009-02-01",6
"ebop-00088","TP","2009-02-01",22
"ebop-00089","TP","2009-02-01",8
"ebop-00090","TP","2009-02-01",12
"ebop-00091","TP","2009-02-01",85
"ebop-00092","TP","2009-02-01",15
"ebop-00094","TP","2009-02-01",30
"ebop-00095","TP","2009-02-01",5
"ebop-00096","TP","2009-02-01",28
"ebop-00097","TP","2009-02-01",26
"ebop-00098","TP","2009-02-01",27
"ebop-00100","TP","2009-02-01",4
"ecan-00325","TP","2009-02-01",530
"ecan-00326","TP","2009-02-01",5
"ecan-00327","TP","2009-02-01",5
"ecan-00328","TP","2009-02-01",6
"ecan-00329","TP","2009-02-01",5
"ecan-00330","TP","2009-02-01",7
"ecan-00332","TP","2009-02-01",8
"ecan-00333","TP","2009-02-01",12
"ecan-00334","TP","2009-02-01",320
"ecan-00335","TP","2009-02-01",7
"ecan-00336","TP","2009-02-01",2
"ecan-00337","TP","2009-02-01",5
"ecan-00338","TP","2009-02-01",6
"ecan-00339","TP","2009-02-01",4
"ecan-00340","TP","2009-02-01",4
"ecan-00341","TP","2009-02-01",7
"ecan-00342","TP","2009-02-01",92
"ecan-00343","TP","2009-02-01",5
"ecan-00344","TP","2009-02-01",10
"ecan-00345","TP","2009-02-01",2
"ecan-00346","TP","2009-02-01",2
"ecan-00347","TP","2009-02-01",410
"ecan-00348","TP","2009-02-01",10
"ecan-00354","TP","2009-02-01",3
"ecan-00355","TP","2009-02-01",6
"ecan-00357","TP","2009-02-01",15
"ecan-00358","TP","2009-02-01",6
"ecan-00359","TP","2009-02-01",11
"ecan-00369","TP","2009-02-01",280
"ecan-00370","TP","2009-02-01",290
"ecan-00371","TP","2009-02-01",300
"ecan-00372","TP","2009-02-01",510
"es-000142","TP","2009-02-01",52
"es-000157","TP","2009-02-01",31
"es-000158","TP","2009-02-01",33
"es-000159","TP","2009-02-01",53
"ew-00142","TP","2009-02-01",50
"ew-00143","TP","2009-02-01",17
"ew-00145","TP","2009-02-01",9
"ew-00146","TP","2009-02-01",75
"ew-00147","TP","2009-02-01",78
"ew-00149","TP","2009-02-01",22
"ew-00151","TP","2009-02-01",86
"hbrc-00170","TP","2009-02-01",15
"hbrc-00171","TP","2009-02-01",21
"hbrc-00176","TP","2009-02-01",9
"nrc-00075","TP","2009-02-01",6
"nrc-00087","TP","2009-02-01",1
"nrc-00090","TP","2009-02-01",3
"orc-00027","TP","2009-02-01",13
"orc-00028","TP","2009-02-01",6
"orc-00034","TP","2009-02-01",39
"orc-00036","TP","2009-02-01",18
"orc-00037","TP","2009-02-01",7
"orc-00038","TP","2009-02-01",25
"trc-00051","TP","2009-02-01",18
"trc-00051","TP","2009-02-01",15
"trc-00053","TP","2009-02-01",19
"trc-00053","TP","2009-02-01",20
"wcrc-00064","TP","2009-02-01",6
"wcrc-00065","TP","2009-02-01",7
"ebop-00087","TP","2010-02-01",6
"ebop-00088","TP","2010-02-01",15
"ebop-00089","TP","2010-02-01",6
"ebop-00090","TP","2010-02-01",14
"ebop-00091","TP","2010-02-01",68
"ebop-00092","TP","2010-02-01",15
"ebop-00094","TP","2010-02-01",18
"ebop-00095","TP","2010-02-01",2
"ebop-00096","TP","2010-02-01",16
"ebop-00097","TP","2010-02-01",25
"ebop-00098","TP","2010-02-01",27
"ebop-00100","TP","2010-02-01",4
"ecan-00325","TP","2010-02-01",330
"ecan-00326","TP","2010-02-01",2.5
"ecan-00327","TP","2010-02-01",2.5
"ecan-00328","TP","2010-02-01",2.5
"ecan-00329","TP","2010-02-01",2.5
"ecan-00330","TP","2010-02-01",2.5
"ecan-00332","TP","2010-02-01",9
"ecan-00333","TP","2010-02-01",13
"ecan-00334","TP","2010-02-01",240
"ecan-00335","TP","2010-02-01",2.5
"ecan-00336","TP","2010-02-01",2.5
"ecan-00337","TP","2010-02-01",9
"ecan-00338","TP","2010-02-01",2.5
"ecan-00339","TP","2010-02-01",2.5
"ecan-00340","TP","2010-02-01",6
"ecan-00341","TP","2010-02-01",2.5
"ecan-00342","TP","2010-02-01",23
"ecan-00343","TP","2010-02-01",2.5
"ecan-00344","TP","2010-02-01",15
"ecan-00345","TP","2010-02-01",14
"ecan-00346","TP","2010-02-01",17
"ecan-00347","TP","2010-02-01",590
"ecan-00348","TP","2010-02-01",4
"ecan-00349","TP","2010-02-01",2.5
"ecan-00354","TP","2010-02-01",12
"ecan-00355","TP","2010-02-01",10
"ecan-00367","TP","2010-02-01",11
"ecan-00368","TP","2010-02-01",11
"ecan-00369","TP","2010-02-01",220
"ecan-00370","TP","2010-02-01",260
"ecan-00371","TP","2010-02-01",210
"ecan-00372","TP","2010-02-01",290
"es-000142","TP","2010-02-01",62
"es-000157","TP","2010-02-01",49
"es-000158","TP","2010-02-01",21
"es-000159","TP","2010-02-01",59
"hbrc-00170","TP","2010-02-01",8.5
"hbrc-00171","TP","2010-02-01",27
"hbrc-00176","TP","2010-02-01",12
"nrc-00073","TP","2010-02-01",6
"nrc-00077","TP","2010-02-01",70
"nrc-00078","TP","2010-02-01",17
"nrc-00086","TP","2010-02-01",26
"nrc-00091","TP","2010-02-01",20
"nrc-00094","TP","2010-02-01",15
"nrc-00095","TP","2010-02-01",160
"orc-00027","TP","2010-02-01",16
"orc-00028","TP","2010-02-01",25
"orc-00036","TP","2010-02-01",12
"orc-00037","TP","2010-02-01",8
"orc-00038","TP","2010-02-01",25
"trc-00051","TP","2010-02-01",11
"trc-00051","TP","2010-02-01",12
"trc-00053","TP","2010-02-01",28
"trc-00053","TP","2010-02-01",15
"wcrc-00064","TP","2010-02-01",7
"wcrc-00065","TP","2010-02-01",10
"ebop-00087","TP","2011-02-01",8
"ebop-00088","TP","2011-02-01",20
"ebop-00089","TP","2011-02-01",12
"ebop-00090","TP","2011-02-01",11
"ebop-00091","TP","2011-02-01",29
"ebop-00092","TP","2011-02-01",18
"ebop-00094","TP","2011-02-01",23
"ebop-00095","TP","2011-02-01",6
"ebop-00096","TP","2011-02-01",50
"ebop-00097","TP","2011-02-01",30
"ebop-00098","TP","2011-02-01",15
"ebop-00100","TP","2011-02-01",4
"ecan-00325","TP","2011-02-01",97
"ecan-00347","TP","2011-02-01",110
"ecan-00348","TP","2011-02-01",9
"es-000142","TP","2011-02-01",10
"es-000157","TP","2011-02-01",NA
"es-000158","TP","2011-02-01",14
"es-000159","TP","2011-02-01",22
"gw-00258","TP","2011-02-01",230
"hbrc-00174","TP","2011-02-01",15
"hbrc-00175","TP","2011-02-01",240
"nrc-00071","TP","2011-02-01",26
"nrc-00072","TP","2011-02-01",10
"nrc-00074","TP","2011-02-01",11
"nrc-00075","TP","2011-02-01",5
"nrc-00076","TP","2011-02-01",29
"nrc-00079","TP","2011-02-01",11
"nrc-00080","TP","2011-02-01",13
"nrc-00081","TP","2011-02-01",19
"nrc-00082","TP","2011-02-01",9
"nrc-00083","TP","2011-02-01",9
"nrc-00084","TP","2011-02-01",91
"nrc-00085","TP","2011-02-01",17
"nrc-00087","TP","2011-02-01",2
"nrc-00089","TP","2011-02-01",18
"nrc-00090","TP","2011-02-01",5
"nrc-00092","TP","2011-02-01",20
"nrc-00093","TP","2011-02-01",27
"nrc-00096","TP","2011-02-01",44
"orc-00027","TP","2011-02-01",15
"orc-00028","TP","2011-02-01",25
"orc-00035","TP","2011-02-01",124
"orc-00036","TP","2011-02-01",20
"trc-00051","TP","2011-02-01",8
"trc-00051","TP","2011-02-01",9
"trc-00053","TP","2011-02-01",37
"trc-00053","TP","2011-02-01",11
"wcrc-00064","TP","2011-02-01",6
"wcrc-00065","TP","2011-02-01",10
"arc-00098","TP","2012-02-01",11.5
"arc-00100","TP","2012-02-01",8.5
"arc-10002","TP","2012-02-01",46.5
"ebop-00087","TP","2012-02-01",8
"ebop-00088","TP","2012-02-01",24
"ebop-00089","TP","2012-02-01",13
"ebop-00090","TP","2012-02-01",15
"ebop-00091","TP","2012-02-01",28
"ebop-00092","TP","2012-02-01",15
"ebop-00094","TP","2012-02-01",17
"ebop-00095","TP","2012-02-01",8
"ebop-00096","TP","2012-02-01",49
"ebop-00097","TP","2012-02-01",12
"ebop-00098","TP","2012-02-01",14
"ebop-00100","TP","2012-02-01",4
"ecan-00325","TP","2012-02-01",1200
"ecan-00326","TP","2012-02-01",2.5
"ecan-00327","TP","2012-02-01",6
